year,race,extremely preterm births,very preterm births,later preterm births,full-term births,total births,total extremely preterm deaths,"extremely preterm deaths, first week","extremely preterm deaths, neonatal","extremely preterm deaths, post-neonatal",total very preterm deaths,"very preterm deaths, first week","very preterm deaths, neonatal","very preterm deaths, post-neonatal",total late preterm deaths,"late preterm deaths, first week","late preterm deaths, neonatal","late preterm deaths, post-neonatal",total full-term deaths,"full-term deaths, first week","full-term deaths, neonatal","full-term deaths, post-neonatal",extremely preterm overall mortality,very preterm overall mortality,late preterm overall mortality,full-term overall mortality,extremely preterm first-week mortality,very preterm first-week mortality,late preterm first-week mortality,full-term first-week mortality,extremely preterm neonatal mortality,very preterm neonatal mortality,late preterm neonatal mortality,full-term neonatal mortality,extremely preterm post-neonatal mortality,very preterm post-neonatal mortality,late preterm post-neonatal mortality,full-term post-neonatal mortality,overall first-week mortality,overall neonatal mortality,overall post-neonatal mortality,overall mortality
2008,NHB,10693,13214,85218,512904,622029,4261,3241,3727,534,616,231,362,254,891,265,397,494,1910,292,535,1375,398.48499018049193,46.61722415619797,10.455537562486798,3.723893750097484,303.0954830262789,17.481459058574238,3.1096716656105516,0.5693073167688301,348.54577761152154,27.395186922960498,4.658640193386374,1.0430801865456303,49.939212568970355,19.222037233237476,5.796897369100424,2.6808135635518537,6.477189970242545,8.071970920969923,4.271505026292986,12.34347594726291
2008,NHW,12261,23968,216108,2013155,2265492,4749,3817,4348,401,965,521,717,248,1911,817,1088,823,4612,994,1636,2976,387.32566674822607,40.262016021361816,8.842800821811316,2.290931398724887,311.3122910039964,21.737316421895862,3.780517148832991,0.49375234395761874,354.62034091835903,29.914886515353807,5.034519777148462,0.8126547632944309,32.70532582986706,10.347129506008011,3.808281044662854,1.4782766354304562,2.7142007122514666,3.438105276911152,1.96337042902822,5.401475705939372
2009,NHB,10607,12934,82775,502401,608717,4078,3097,3582,496,592,245,363,229,821,265,384,437,1830,245,500,1330,384.4630904119921,45.77083655481676,9.918453639383872,3.6425086733505707,291.9769963231828,18.942322560692748,3.2014497130776203,0.4876582650114152,337.7015178655605,28.065563630740684,4.639081848384174,0.9952209490028882,46.7615725464316,17.705272924076077,5.279371790999698,2.6472877243476822,6.328063780048857,7.933078918446503,4.093856422606893,12.026935341053395
2009,NHW,11856,22949,206496,1968901,2210202,4460,3597,4109,351,950,525,722,228,1689,702,962,727,4370,906,1545,2825,376.1808367071525,41.39613926532746,8.17933519293352,2.2195123066116578,303.3906882591093,22.876813804523074,3.399581589958159,0.46015518301834374,346.57557354925774,31.461065841648875,4.658685882535255,0.7847017193855862,29.605263157894736,9.935073423678592,3.5206493103982646,1.434810587226072,2.592523217334886,3.32005852858698,1.8690599320786063,5.189118460665586
2010,NHB,9947,12358,78492,488050,588847,3643,2762,3175,468,545,217,328,217,759,212,315,444,1721,253,471,1250,366.24107771187295,44.10098721475967,9.669775263721144,3.5262780452822455,277.6716597969237,17.55947564330798,2.700912194873363,0.518389509271591,319.19171609530514,26.541511571451693,4.013147836722213,0.965065054809958,47.04936161656781,17.55947564330798,5.65662742699893,2.5612129904722876,5.848717918236826,7.283725653692725,4.0400987013604555,11.32382435505318
2010,NHW,11760,22388,198540,1927826,2160514,4348,3458,3971,377,837,457,629,208,1648,724,974,674,4099,894,1539,2560,369.7278911564626,37.38609969626586,8.300594338672308,2.1262292343811113,294.04761904761904,20.4127211005896,3.6466203283973004,0.46373479764252584,337.6700680272109,28.09540825442201,4.905812430744434,0.7983085610423347,32.0578231292517,9.290691441843846,3.3947819079278734,1.3279206733387765,2.560964659335695,3.2922721167277786,1.7676349239116247,5.059907040639404
2011,NHB,9879,11966,75698,483974,581517,3578,2824,3183,395,483,212,318,165,748,233,337,411,1626,239,482,1144,362.18240712622736,40.36436570282467,9.881370709926285,3.3596846111567977,285.85889260046565,17.71686444927294,3.0780205553647386,0.4938281808526904,322.1986030974795,26.57529667390941,4.451900974926683,0.9959212684978945,39.98380402874785,13.789069028915259,5.4294697349996035,2.363763342658903,6.0324977601686625,7.428845588349094,3.6370389859625774,11.06588457431167
2011,NHW,11225,21884,192041,1919036,2144186,4142,3408,3824,318,910,522,689,221,1587,698,933,654,4041,880,1513,2528,368.9977728285078,41.5828916103089,8.263860321493848,2.105744759347923,303.60801781737194,23.85304331932005,3.6346405194724043,0.45856357045933477,340.66815144766144,31.484189362091026,4.858337542503945,0.7884166842101972,28.329621380846326,10.098702248217876,3.405522778989903,1.3173280751377254,2.568806997154165,3.245520677777021,1.7353904931754989,4.98091117095252
2012,NHB,9783,11836,74656,486312,582587,3553,2764,3140,413,460,207,294,166,673,215,298,375,1721,274,521,1200,363.181028314423,38.8644812436634,9.014680668666953,3.5388803895441607,282.5309209853828,17.48901655964853,2.8798756965280754,0.5634243037391633,320.9649391802106,24.83947279486313,3.991641663094728,1.0713286943361464,42.21608913421241,14.02500844880027,5.023039005572224,2.4675516952080145,5.93902713242829,7.300197223762288,3.6973018622111375,10.997499085973425
2012,NHW,11423,21622,186411,1912986,2132442,4173,3432,3845,328,841,481,627,214,1613,731,973,640,3990,898,1507,2483,365.3155913507835,38.89556932753677,8.652922842536116,2.0857444853229454,300.4464676529808,22.245860697437795,3.92144240414997,0.4694231949423571,336.6015932767224,28.99824253075571,5.219649055045035,0.7877736690179646,28.713998074061106,9.897326796781057,3.4332737874910815,1.2979708163049808,2.598898352217786,3.260112115593296,1.7186868388448548,4.978798954438151
