race,gest,year,sex,births
NHW,42,2009,F,30918
NHW,43,2009,F,15904
NHW,44,2009,F,8210
NHW,45,2009,F,4205
NHW,46,2009,F,2199
NHW,47,2009,F,1381
NHW,99,2009,F,1103
NHB,17,2009,M,84
NHB,18,2009,M,138
NHB,19,2009,M,172
NHB,20,2009,M,321
NHB,21,2009,M,370
NHB,22,2009,M,474
NHB,23,2009,M,544
NHB,24,2009,M,780
NHB,25,2009,M,811
NHB,26,2009,M,906
NHB,27,2009,M,954
NHB,28,2009,M,1161
NHB,29,2009,M,1358
NHB,30,2009,M,1793
NHB,31,2009,M,2268
NHB,32,2009,M,3095
NHB,33,2009,M,4280
NHB,34,2009,M,7014
NHB,35,2009,M,10596
NHB,36,2009,M,17485
NHB,37,2009,M,33199
NHB,38,2009,M,58396
NHB,39,2009,M,76860
NHB,40,2009,M,50332
NHB,41,2009,M,20833
NHB,42,2009,M,7126
NHB,43,2009,M,4060
NHB,44,2009,M,2031
NHB,45,2009,M,995
NHB,46,2009,M,511
NHB,47,2009,M,344
NHB,99,2009,M,460
NHW,17,2009,M,58
NHW,18,2009,M,93
NHW,19,2009,M,187
NHW,20,2009,M,221
NHW,21,2009,M,364
NHW,22,2009,M,454
NHW,23,2009,M,601
NHW,24,2009,M,836
NHW,25,2009,M,957
NHW,26,2009,M,1185
NHW,27,2009,M,1448
NHW,28,2009,M,1985
NHW,29,2009,M,2402
NHW,30,2009,M,3347
NHW,31,2009,M,4489
NHW,32,2009,M,6276
NHW,33,2009,M,9531
NHW,34,2009,M,16338
NHW,35,2009,M,27129
NHW,36,2009,M,50625
NHW,37,2009,M,101370
NHW,38,2009,M,209354
NHW,39,2009,M,319526
NHW,40,2009,M,217590
NHW,41,2009,M,94433
NHW,42,2009,M,30816
NHW,43,2009,M,15624
NHW,44,2009,M,8215
NHW,45,2009,M,4218
NHW,46,2009,M,2327
NHW,47,2009,M,1408
NHW,99,2009,M,1247
NHB,17,2010,F,39
NHB,18,2010,F,78
NHB,19,2010,F,119
NHB,20,2010,F,223
NHB,21,2010,F,236
NHB,22,2010,F,405
NHB,23,2010,F,495
NHB,24,2010,F,650
NHB,25,2010,F,751
NHB,26,2010,F,905
NHB,27,2010,F,924
NHB,28,2010,F,1114
NHB,29,2010,F,1240
NHB,30,2010,F,1677
NHB,31,2010,F,1967
NHB,32,2010,F,2736
NHB,33,2010,F,3915
NHB,34,2010,F,6428
NHB,35,2010,F,9452
NHB,36,2010,F,15720
NHB,37,2010,F,29586
NHB,38,2010,F,52436
NHB,39,2010,F,74744
NHB,40,2010,F,48391
NHB,41,2010,F,20031
NHB,42,2010,F,6811
NHB,43,2010,F,3787
NHB,44,2010,F,2024
NHB,45,2010,F,1025
NHB,46,2010,F,582
NHB,47,2010,F,356
NHB,99,2010,F,474
NHW,17,2010,F,36
NHW,18,2010,F,74
NHW,19,2010,F,120
NHW,20,2010,F,210
NHW,21,2010,F,291
NHW,22,2010,F,337
NHW,23,2010,F,522
NHW,24,2010,F,714
NHW,25,2010,F,867
NHW,26,2010,F,1015
NHW,27,2010,F,1245
NHW,28,2010,F,1709
NHW,29,2010,F,2095
NHW,30,2010,F,2880
NHW,31,2010,F,3779
NHW,32,2010,F,5441
NHW,33,2010,F,7929
NHW,34,2010,F,13871
NHW,35,2010,F,22666
NHW,36,2010,F,42073
NHW,37,2010,F,85783
NHW,38,2010,F,178102
NHW,39,2010,F,308696
NHW,40,2010,F,214727
NHW,41,2010,F,95291
NHW,42,2010,F,30761
NHW,43,2010,F,15075
NHW,44,2010,F,7983
NHW,45,2010,F,4270
NHW,46,2010,F,2245
NHW,47,2010,F,1335
NHW,99,2010,F,880
NHB,17,2010,M,85
NHB,18,2010,M,123
NHB,19,2010,M,177
NHB,20,2010,M,257
NHB,21,2010,M,289
NHB,22,2010,M,409
NHB,23,2010,M,488
NHB,24,2010,M,724
NHB,25,2010,M,772
NHB,26,2010,M,867
NHB,27,2010,M,931
NHB,28,2010,M,1182
NHB,29,2010,M,1322
NHB,30,2010,M,1695
NHB,31,2010,M,2161
NHB,32,2010,M,2991
NHB,33,2010,M,4131
NHB,34,2010,M,6589
NHB,35,2010,M,9999
NHB,36,2010,M,16531
NHB,37,2010,M,31767
NHB,38,2010,M,55963
NHB,39,2010,M,77468
NHB,40,2010,M,48457
NHB,41,2010,M,20113
NHB,42,2010,M,6813
NHB,43,2010,M,3877
NHB,44,2010,M,1947
NHB,45,2010,M,1014
NHB,46,2010,M,537
NHB,47,2010,M,321
NHB,99,2010,M,487
NHW,17,2010,M,58
NHW,18,2010,M,97
NHW,19,2010,M,122
NHW,20,2010,M,222
NHW,21,2010,M,318
NHW,22,2010,M,447
NHW,23,2010,M,570
NHW,24,2010,M,772
NHW,25,2010,M,1013
NHW,26,2010,M,1265
NHW,27,2010,M,1445
NHW,28,2010,M,1858
NHW,29,2010,M,2402
NHW,30,2010,M,3372
NHW,31,2010,M,4293
NHW,32,2010,M,6419
NHW,33,2010,M,9331
NHW,34,2010,M,16387
NHW,35,2010,M,26142
NHW,36,2010,M,48281
NHW,37,2010,M,97091
NHW,38,2010,M,195854
NHW,39,2010,M,322544
NHW,40,2010,M,213463
NHW,41,2010,M,94155
NHW,42,2010,M,30029
NHW,43,2010,M,14944
NHW,44,2010,M,7935
NHW,45,2010,M,4110
NHW,46,2010,M,2114
NHW,47,2010,M,1319
NHW,99,2010,M,1012
NHB,17,2011,F,44
NHB,18,2011,F,75
NHB,19,2011,F,140
NHB,20,2011,F,210
NHB,21,2011,F,279
NHB,22,2011,F,392
NHB,23,2011,F,436
NHB,24,2011,F,630
NHB,25,2011,F,723
NHB,26,2011,F,841
NHB,27,2011,F,905
NHB,28,2011,F,1050
NHB,29,2011,F,1237
NHB,30,2011,F,1598
NHB,31,2011,F,1982
NHB,32,2011,F,2574
NHB,33,2011,F,3855
NHB,34,2011,F,6115
NHB,35,2011,F,9109
NHB,36,2011,F,14819
NHB,37,2011,F,28859
NHB,38,2011,F,50311
NHB,39,2011,F,76678
NHB,40,2011,F,48401
NHB,41,2011,F,19809
NHB,42,2011,F,6812
NHB,43,2011,F,3983
NHB,44,2011,F,2131
NHB,45,2011,F,1097
NHB,46,2011,F,545
NHB,47,2011,F,340
NHB,99,2011,F,417
NHW,17,2011,F,39
NHW,18,2011,F,74
NHW,19,2011,F,111
NHW,20,2011,F,184
NHW,21,2011,F,287
NHW,22,2011,F,365
NHW,23,2011,F,487
NHW,24,2011,F,664
NHW,25,2011,F,811
NHW,26,2011,F,971
NHW,27,2011,F,1179
NHW,28,2011,F,1598
NHW,29,2011,F,2054
NHW,30,2011,F,2880
NHW,31,2011,F,3659
NHW,32,2011,F,5426
NHW,33,2011,F,7681
NHW,34,2011,F,13791
NHW,35,2011,F,22051
NHW,36,2011,F,40193
NHW,37,2011,F,82365
NHW,38,2011,F,167736
NHW,39,2011,F,314357
NHW,40,2011,F,215827
NHW,41,2011,F,96665
NHW,42,2011,F,30885
NHW,43,2011,F,15295
NHW,44,2011,F,7867
NHW,45,2011,F,4104
NHW,46,2011,F,2306
NHW,47,2011,F,1356
NHW,99,2011,F,1137
NHB,17,2011,M,90
NHB,18,2011,M,116
NHB,19,2011,M,186
NHB,20,2011,M,257
NHB,21,2011,M,346
NHB,22,2011,M,410
NHB,23,2011,M,481
NHB,24,2011,M,688
NHB,25,2011,M,798
NHB,26,2011,M,869
NHB,27,2011,M,963
NHB,28,2011,M,1115
NHB,29,2011,M,1257
NHB,30,2011,M,1631
NHB,31,2011,M,2096
NHB,32,2011,M,2729
NHB,33,2011,M,4087
NHB,34,2011,M,6607
NHB,35,2011,M,9563
NHB,36,2011,M,16240
NHB,37,2011,M,30556
NHB,38,2011,M,53252
NHB,39,2011,M,77997
NHB,40,2011,M,48670
NHB,41,2011,M,19769
NHB,42,2011,M,6792
NHB,43,2011,M,3829
NHB,44,2011,M,2127
NHB,45,2011,M,1073
NHB,46,2011,M,574
NHB,47,2011,M,369
NHB,99,2011,M,411
NHW,17,2011,M,60
NHW,18,2011,M,105
NHW,19,2011,M,141
NHW,20,2011,M,238
NHW,21,2011,M,316
NHW,22,2011,M,414
NHW,23,2011,M,560
NHW,24,2011,M,803
NHW,25,2011,M,916
NHW,26,2011,M,1113
NHW,27,2011,M,1387
NHW,28,2011,M,1893
NHW,29,2011,M,2331
NHW,30,2011,M,3186
NHW,31,2011,M,4283
NHW,32,2011,M,6247
NHW,33,2011,M,9291
NHW,34,2011,M,15883
NHW,35,2011,M,25560
NHW,36,2011,M,45918
NHW,37,2011,M,92855
NHW,38,2011,M,185463
NHW,39,2011,M,329774
NHW,40,2011,M,215874
NHW,41,2011,M,95269
NHW,42,2011,M,30030
NHW,43,2011,M,15317
NHW,44,2011,M,8043
NHW,45,2011,M,3956
NHW,46,2011,M,2257
NHW,47,2011,M,1435
NHW,99,2011,M,1243
NHB,17,2012,F,48
NHB,18,2012,F,66
NHB,19,2012,F,125
NHB,20,2012,F,196
NHB,21,2012,F,269
NHB,22,2012,F,341
NHB,23,2012,F,487
NHB,24,2012,F,670
NHB,25,2012,F,769
NHB,26,2012,F,864
NHB,27,2012,F,823
NHB,28,2012,F,1099
NHB,29,2012,F,1164
NHB,30,2012,F,1595
NHB,31,2012,F,1931
NHB,32,2012,F,2639
NHB,33,2012,F,3732
NHB,34,2012,F,5996
NHB,35,2012,F,8990
NHB,36,2012,F,14929
NHB,37,2012,F,28485
NHB,38,2012,F,48537
NHB,39,2012,F,78140
NHB,40,2012,F,49284
NHB,41,2012,F,20432
NHB,42,2012,F,6921
NHB,43,2012,F,3964
NHB,44,2012,F,2161
NHB,45,2012,F,1048
NHB,46,2012,F,563
NHB,47,2012,F,416
NHB,99,2012,F,451
NHW,17,2012,F,36
NHW,18,2012,F,61
NHW,19,2012,F,127
NHW,20,2012,F,178
NHW,21,2012,F,273
NHW,22,2012,F,366
NHW,23,2012,F,487
NHW,24,2012,F,738
NHW,25,2012,F,783
NHW,26,2012,F,1054
NHW,27,2012,F,1207
NHW,28,2012,F,1673
NHW,29,2012,F,1978
NHW,30,2012,F,2759
NHW,31,2012,F,3683
NHW,32,2012,F,5276
NHW,33,2012,F,7688
NHW,34,2012,F,13580
NHW,35,2012,F,21412
NHW,36,2012,F,38895
NHW,37,2012,F,80102
NHW,38,2012,F,157758
NHW,39,2012,F,319314
NHW,40,2012,F,217885
NHW,41,2012,F,99243
NHW,42,2012,F,31137
NHW,43,2012,F,15156
NHW,44,2012,F,8181
NHW,45,2012,F,4237
NHW,46,2012,F,2260
NHW,47,2012,F,1315
NHW,99,2012,F,733
NHB,17,2012,M,93
NHB,18,2012,M,126
NHB,19,2012,M,179
NHB,20,2012,M,271
NHB,21,2012,M,356
NHB,22,2012,M,397
NHB,23,2012,M,540
NHB,24,2012,M,650
NHB,25,2012,M,752
NHB,26,2012,M,811
NHB,27,2012,M,950
NHB,28,2012,M,1121
NHB,29,2012,M,1251
NHB,30,2012,M,1652
NHB,31,2012,M,2023
NHB,32,2012,M,2810
NHB,33,2012,M,3804
NHB,34,2012,M,6428
NHB,35,2012,M,9494
NHB,36,2012,M,15834
NHB,37,2012,M,30254
NHB,38,2012,M,51699
NHB,39,2012,M,80355
NHB,40,2012,M,48755
NHB,41,2012,M,20344
NHB,42,2012,M,6746
NHB,43,2012,M,3980
NHB,44,2012,M,2213
NHB,45,2012,M,1073
NHB,46,2012,M,589
NHB,47,2012,M,353
NHB,99,2012,M,451
NHW,17,2012,M,55
NHW,18,2012,M,107
NHW,19,2012,M,154
NHW,20,2012,M,225
NHW,21,2012,M,336
NHW,22,2012,M,425
NHW,23,2012,M,544
NHW,24,2012,M,754
NHW,25,2012,M,959
NHW,26,2012,M,1162
NHW,27,2012,M,1392
NHW,28,2012,M,1811
NHW,29,2012,M,2352
NHW,30,2012,M,3255
NHW,31,2012,M,4111
NHW,32,2012,M,5999
NHW,33,2012,M,8799
NHW,34,2012,M,15493
NHW,35,2012,M,24806
NHW,36,2012,M,44463
NHW,37,2012,M,90350
NHW,38,2012,M,174779
NHW,39,2012,M,333953
NHW,40,2012,M,217252
NHW,41,2012,M,98590
NHW,42,2012,M,30642
NHW,43,2012,M,15032
NHW,44,2012,M,8082
NHW,45,2012,M,4075
NHW,46,2012,M,2245
NHW,47,2012,M,1398
NHW,99,2012,M,869
NHB,17,2013,F,52
NHB,18,2013,F,91
NHB,19,2013,F,124
NHB,20,2013,F,200
NHB,21,2013,F,267
NHB,22,2013,F,362
NHB,23,2013,F,475
NHB,24,2013,F,612
NHB,25,2013,F,725
NHB,26,2013,F,810
NHB,27,2013,F,917
NHB,28,2013,F,1067
NHB,29,2013,F,1282
NHB,30,2013,F,1577
NHB,31,2013,F,2032
NHB,32,2013,F,2503
NHB,33,2013,F,3628
