year,gest,race,births
2012,42,NHB,13667
2012,43,NHB,7944
2012,44,NHB,4374
2012,45,NHB,2121
2012,46,NHB,1152
2012,47,NHB,769
2012,99,NHB,902
2012,17,NHW,91
2012,18,NHW,168
2012,19,NHW,281
2012,20,NHW,403
2012,21,NHW,609
2012,22,NHW,791
2012,23,NHW,1031
2012,24,NHW,1492
2012,25,NHW,1742
2012,26,NHW,2216
2012,27,NHW,2599
2012,28,NHW,3484
2012,29,NHW,4330
2012,30,NHW,6014
2012,31,NHW,7794
2012,32,NHW,11275
2012,33,NHW,16487
2012,34,NHW,29073
2012,35,NHW,46218
2012,36,NHW,83358
2012,37,NHW,170452
2012,38,NHW,332537
2012,39,NHW,653267
2012,40,NHW,435137
2012,41,NHW,197833
2012,42,NHW,61779
2012,43,NHW,30188
2012,44,NHW,16263
2012,45,NHW,8312
2012,46,NHW,4505
2012,47,NHW,2713
2012,99,NHW,1602
2013,17,NHB,137
2013,18,NHB,220
2013,19,NHB,307
2013,20,NHB,456
2013,21,NHB,552
2013,22,NHB,771
2013,23,NHB,993
2013,24,NHB,1312
2013,25,NHB,1441
2013,26,NHB,1671
2013,27,NHB,1786
2013,28,NHB,2114
2013,29,NHB,2572
2013,30,NHB,3241
2013,31,NHB,4084
2013,32,NHB,5187
2013,33,NHB,7577
2013,34,NHB,12434
2013,35,NHB,17820
2013,36,NHB,30194
2013,37,NHB,58750
2013,38,NHB,100804
2013,39,NHB,162171
2013,40,NHB,97632
2013,41,NHB,39401
2013,42,NHB,13389
2013,43,NHB,7758
2013,44,NHB,4260
2013,45,NHB,2190
2013,46,NHB,1199
2013,47,NHB,772
2013,99,NHB,639
2013,17,NHW,124
2013,18,NHW,147
2013,19,NHW,236
2013,20,NHW,408
2013,21,NHW,620
2013,22,NHW,732
2013,23,NHW,1058
2013,24,NHW,1500
2013,25,NHW,1777
2013,26,NHW,1980
2013,27,NHW,2554
2013,28,NHW,3404
2013,29,NHW,4429
2013,30,NHW,6080
2013,31,NHW,7908
2013,32,NHW,11360
2013,33,NHW,16659
2013,34,NHW,28509
2013,35,NHW,45114
2013,36,NHW,81850
2013,37,NHW,169660
2013,38,NHW,323840
2013,39,NHW,659086
2013,40,NHW,437191
2013,41,NHW,197966
2013,42,NHW,61301
2013,43,NHW,30379
2013,44,NHW,15894
2013,45,NHW,8357
2013,46,NHW,4634
2013,47,NHW,2870
2013,99,NHW,1569
